Network,Aliases,Category,Marked,Philo,Sling Orange,Sling Blue,Sling Orange + Blue,DirecTV Stream Entertainment,DirecTV Stream Choice,DirecTV Stream Ultimate,DirecTV Stream Premier,YouTube TV,Hulu with Live TV,Fubo TV,KlowdTV,Frndly TV,Vidgo English Premium,Vidgo English Plus,Vidgo Spanish MAS,Placeholder3,Placeholder4,Placeholder4,Placeholder5,Placeholder6,Placeholder7,Spectrum TV Essentials,Philo Chosen,Sling Orange Chosen,Sling Blue Chosen,Sling Orange + Blue Chosen,DirecTV Stream Entertainment Chosen,DirecTV Stream Choice Chosen,DirecTV Stream Ultimate Chosen,DirecTV Stream Premier Chosen,YouTube TV Chosen,Hulu with Live TV Chosen,Fubo TV Chosen,KlowdTV Chosen,Frndly TV Chosen,Vidgo English Premium Chosen,Vidgo English Plus Chosen,Vidgo Spanish MAS Chosen,Placeholder3 Chosen,Placeholder4 Chosen,Placeholder4 Chosen,Placeholder5 Chosen,Placeholder6 Chosen,Placeholder7 Chosen,Spectrum TV Essentials Chosen,Network Chosen,Philo qualify,Sling Orange qualify,Sling Blue qualify,Sling Orange + Blue qualify,DirecTV Stream Entertainment qualify,DirecTV Stream Choice qualify,DirecTV Stream Ultimate qualify,DirecTV Stream Premier qualify,YouTube TV qualify,Hulu with Live TV qualify,Fubo TV qualify,KlowdTV qualify,Frndly TV qualify,Vidgo English Premium qualify,Vidgo English Plus qualify,Vidgo Spanish MAS qualify,Placeholder3 qualify,Placeholder4 qualify,Placeholder4 qualify,Placeholder5 qualify,Placeholder6 qualify,Placeholder7 qualify,Spectrum TV Essentials qualify,Highlight Network,Highlight Service,Highlight Result A,Highlight Result B,User Mark
BeIN Sports Xtra En Espanol,,Sports,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Benfica TV,,International,,,,,,,,,,,,Portuguese Plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
BET,,Entertainment,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
BET Gospel,,Music,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
BET Her,,Entertainment,,Yes,,,,,,Yes,Yes,Yes,Entertainment,Fubo Extra,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
BET Jams,,Music,,,,,,,,,,,,Fubo Extra,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
BET Soul,,Music,,,,,,,,,,,,Fubo Extra,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
BET+,,Entertainment,,,BET+,BET+,BET+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Big Ten Network,"BTN, Big Ten, BIGTEN",Regional Sports,,,,Sports Extra,Sports Extra,,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
BigTen Net Alternate n,,Regional Sports,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Billiard TV,BilliardTV,Sports,,,,,,,,,,Sports Plus,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Black News Channel,BNC,News,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Bloomberg Quicktake,,News,,,,,,,,,,,,News Plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Bloomberg TV,"Bloomberg, Bloomberg Television",News,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Bloomberg+,"Bloomberg TV+, Bloomberg Plus",News,,,,,,,,,,,,News Plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Boomerang,,Kids and family,,,Kids Extra,Kids Extra,Kids Extra,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Bounce,Bounce TV,Entertainment,,,Hollywood Extra,Hollywood Extra,Hollywood Extra,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Bravo,,Lifestyle,1,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,0,0,0,0,1
Business Rockstars,,Entertainment,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
BYUTV,BYU TV,Entertainment,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Campus Lore,,Entertainment,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Canal 22 Internacional,,Spanish,,,,,,Espanol,Espanol,Espanol,Espanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Canal Once,,Spanish,,,México Service,México Service,México Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Canal Sur,,Spanish,,,Sudamérica Service,Sudamérica Service,Sudamérica Service,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Caracol,"Caracol TV, Caracol TV Internacional",Spanish,,,Sudamérica Service,Sudamérica Service,Sudamérica Service,Espanol,Espanol,Espanol,Espanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Carbon TV,,Lifestyle,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Cartoon Network,"CN, Adult Swim",Kids and family,1,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,0,0,0,0,3
CBS,,Broadcast,1,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,0,0,0,0,1
CBS News Live,CBS News,News,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
CBS Sports Network,"CBSsn, CBS Sports, CBS Sn, CBS Sports Net",Sports,1,,,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,1,1,1,1,,,,,,,,,,,,,0,0,0,0,2
CBTV Michoacán,CBTV Michoacan,Spanish,,,México Service,México Service,México Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Centroamerica TV,"Centroamerica TV, Centroamérica TV, Centro America TV, CentroAméricaTV",Spanish,,,Centroamérica Service,Centroamérica Service,Centroamérica Service,Espanol,Espanol,Espanol,Espanol,,,Fubo Latino,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
CGTN,,News,,,News Extra,News Extra,News Extra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Channel Fight,,Sports,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Charge!,Charge,Entertainment,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Cheddar,"Cheddar Business, Cheddar Business News, Cheddar News, Cheddar Big News, Cheddar news",News,,Yes,,,,,Yes,Yes,Yes,Yes,Yes,News Plus,,,Yes,Yes,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Choppertown,,Lifestyle,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Cine Estelar,,Spanish,,,,,,Espanol,Espanol,Espanol,Espanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Cine Mexicano,,Spanish,,,,,,Espanol,Espanol,Espanol,Espanol,Spanish Plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Cine Nostalgia,,Spanish,,,,,,Espanol,Espanol,Espanol,Espanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Cine Sony,"Sony Cine, Cine Sony Television",Spanish,,,Best of Spanish TV,Best of Spanish TV,Best of Spanish TV,Espanol,Espanol,Espanol,Espanol,Spanish Plus,,Fubo Latino,Premium,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
CineFest,,Movies,,,CineFest,CineFest,CineFest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Cinelatino,Cine Latino,Spanish,,,Best of Spanish TV,Best of Spanish TV,Best of Spanish TV,Espanol,Espanol,Espanol,Espanol,Spanish Plus,,Fubo Latino,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Cinema Dinamita,,Spanish,,,México Service,México Service,México Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Cinemax,,Premium movies,1,,,,,Cinemax,Cinemax,Cinemax,Yes,Cinemax,Cinemax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,2,,,,,,,,,,,,,,0,0,0,0,3
Cinemax Actionmax,Actionmax,Premium movies,,,,,,Cinemax,Cinemax,Cinemax,Yes,Cinemax,Cinemax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Cinemax Latino,,Premium movies,,,,,,Cinemax,Cinemax,Cinemax,Yes,Cinemax,Cinemax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Cinemoi,,Movies,,Movies & More,Hollywood Extra,Hollywood Extra,Hollywood Extra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Circle,Circle TV,Entertainment,,,,,,,,,,,,Fubo Extra,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
CLAN TVE,Clan TV,Spanish,,,Best of Spanish TV,Best of Spanish TV,Best of Spanish TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Classic Reruns TV,"CRTV, Classic Reruns",Entertainment,,,,,,,,,,,,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Cleo TV,CleoTV,Entertainment,,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
ClubbingTV,,Music,,,,,,,,,,,,,Premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
CMT,,Music,1,Yes,Comedy Extra,Comedy Extra,Comedy Extra,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,,,,Yes,1,,,,,,,,1,,,,,,,,,,,,,,,1,1,2,2,2,1,1,1,1,1,1,1,,,1,1,,,,,,,,,0,0,0,0,3
CMT Music,,Music,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
CNBC,,News,1,,,News Extra,News Extra,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,2,2,1,1,1,1,1,1,1,,,,,,,,,,,,,0,0,0,0,3
CNBC World,,News,,,,,,,Yes,Yes,Yes,,Entertainment,Fubo Extra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
CNN,,News,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
CNN En Español,"CNN En Espanol, CNN Espanol",Spanish,,,,,,Yes,Yes,Yes,Yes,Spanish Plus,Espanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
CNN International,CNNi,News,,,,,,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Cocina On,,Spanish,,,Cocina On,Cocina On,Cocina On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Comedy Central,CC,Entertainment,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Comedy Dynamics,,Entertainment,,,Comedy Dynamics,Comedy Dynamics,Comedy Dynamics,,,,,Comedy Dynamics,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Comedy TV,,Entertainment,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Comet TV,Comet,Entertainment,,,Yes,Yes,Yes,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Con TV,ConTV,Kids and family,,,CONtv,CONtv,CONtv,,,,,Contv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
CONMEBOL y MAS,,Spanish,,,,,,,,,,,,Fubo Latino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Cooking Channel,,Lifestyle,,Yes,Lifestyle Extra,Lifestyle Extra,Lifestyle Extra,,Yes,Yes,Yes,,Entertainment,Fubo Extra,,,Yes,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Cooking Panda,,Lifestyle,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Court TV,CourtTV,Entertainment,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
COZI,"Cozy TV, Cozi TV",Entertainment,,,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Crackle,,Entertainment,,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Crime + Investigation,"Crime & Investigation, Crime+Investigation",Entertainment,,Yes,,,,Movies Extra Pack,Movies Extra Pack,Movies Extra Pack,Yes,,Entertainment,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
C-SPAN,CSPAN,News,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
C-SPAN2,"CSPAN2, CSPAN 2",News,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
CTS,,International,,,,,,Korean,Korean,Korean,Korean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
CubaMax,,International,,,Caribe Service,Caribe Service,Caribe Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Curiosity Stream,"CuriosityStream, Curiosity Channel",Lifestyle,,,Curiosity Stream,Curiosity Stream,Curiosity Stream,,,,,CuriosityStream,,Yes,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
CW,The CW,Broadcast,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
DABL,,Lifestyle,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Daily Wire Now,,News,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Dark Corners,,Entertainment,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Dark Matter,,Entertainment,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
De Pelicula,De Película,Spanish,,,,,,Espanol,Espanol,Espanol,Espanol,Spanish Plus,,Entretenimiento Plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
De Pelicula Clásico,"De Película Clásico, De Pelicula Clasico, De Pelicula Classico",Spanish,,,,,,Espanol,Espanol,Espanol,Espanol,Spanish Plus,,Entretenimiento Plus,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
De Pelicula Plus,,Spanish,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Decades,,Entertainment,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Demand Africa,,Entertainment,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Destination America,,Lifestyle,,Yes,Heartland Extra,Heartland Extra,Heartland Extra,,,Yes,Yes,,Entertainment,Fubo Extra,,,Yes,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Discovery Channel,Discovery,Entertainment,,Yes,discovery+,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Discovery En Espanol,"Discovery En Español, Discovery En Espanol Hd, Discovery Espanol, Discovery Channel en Español",Spanish,,,Best of Spanish TV,Best of Spanish TV,Best of Spanish TV,Espanol,Espanol,Espanol,Espanol,Spanish Plus,Espanol,Fubo Latino,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Discovery Familia,Discovery Familia Hd,Spanish,,,Best of Spanish TV,Best of Spanish TV,Best of Spanish TV,Espanol,Espanol,Espanol,Espanol,Spanish Plus,Espanol,Fubo Latino,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Discovery Family,Discovery Family Channel,Kids and family,,Yes,,,,,,Yes,Yes,,Entertainment,Fubo Extra,,,Yes,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Discovery Life,Discovery Life Channel,Lifestyle,,Yes,discovery+,discovery+,discovery+,,,Yes,Yes,,Entertainment,Fubo Extra,,,Yes,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
discovery+ Originals,,Entertainment,,,discovery+,discovery+,discovery+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Disney Channel,Disney,Kids and family,1,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,1,,1,1,1,1,1,1,1,1,,,1,1,,,,,,,,,0,0,0,0,2
Disney Junior,"Disney Jr, DISNEY-JR, Disney Jr.",Kids and family,,,Kids Extra,,Kids Extra,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Disney XD,DISNEY-XD,Kids and family,,,Kids Extra,,Kids Extra,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Docurama,,Entertainment,,,Docurama,Docurama,Docurama,,,,,Docudrama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Dog TV,DogTV,Lifestyle,,,DOGTV,DOGTV,DOGTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Dominican View,,International,,,Caribe Service,Caribe Service,Caribe Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Dove Channel,Dove,Entertainment,,,Dove Channel,Dove Channel,Dove Channel,,,,,Dove,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Dove Family Movies,,Movies,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Dove Kids,,Kids and family,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
DOX,,Lifestyle,,,DOX,DOX,DOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
DuckTV,Duck TV,Kids and family,,,Kids Extra,Kids Extra,Kids Extra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
DUNGEON TV,,Entertainment,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
DUST,,Entertainment,,,,,,,,,,,,Fubo Extra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
E!,"E! Now, E! Network",Lifestyle,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
